trial,question,prompt_type,model,model_type,readability_score,outcome
1,1,a,GPT 4o,general,34.2,2
2,1,a,GPT 4o,general,35.1,2
1,1,b,GPT 4o,general,41.2,2
2,1,b,GPT 4o,general,32.1,2
1,1,c,GPT 4o,general,61.8,2
2,1,c,GPT 4o,general,45.9,2
1,1,d,GPT 4o,general,31.1,1
2,1,d,GPT 4o,general,28.9,2
1,2,a,GPT 4o,general,25.3,2
2,2,a,GPT 4o,general,26.3,2
1,2,b,GPT 4o,general,31.5,2
2,2,b,GPT 4o,general,39.8,2
1,2,c,GPT 4o,general,44.4,2
2,2,c,GPT 4o,general,53.1,2
1,2,d,GPT 4o,general,31.3,2
2,2,d,GPT 4o,general,40.8,1
1,3,a,GPT 4o,general,24.4,2
2,3,a,GPT 4o,general,23.5,1
1,3,b,GPT 4o,general,41.1,2
2,3,b,GPT 4o,general,50.2,2
1,3,c,GPT 4o,general,44.2,2
2,3,c,GPT 4o,general,52.1,1
1,3,d,GPT 4o,general,20.2,2
2,3,d,GPT 4o,general,21.9,2
1,4,a,GPT 4o,general,28.1,2
2,4,a,GPT 4o,general,25.8,2
1,4,b,GPT 4o,general,33.2,2
2,4,b,GPT 4o,general,32.6,2
1,4,c,GPT 4o,general,62.6,1
2,4,c,GPT 4o,general,54.4,1
1,4,d,GPT 4o,general,30.7,1
2,4,d,GPT 4o,general,21.3,1
1,5,a,GPT 4o,general,19,1
2,5,a,GPT 4o,general,25,1
1,5,b,GPT 4o,general,41.9,2
2,5,b,GPT 4o,general,30.8,2
1,5,c,GPT 4o,general,52.6,1
2,5,c,GPT 4o,general,40.9,1
1,5,d,GPT 4o,general,21.7,1
2,5,d,GPT 4o,general,22.1,1
1,6,a,GPT 4o,general,16.8,1
2,6,a,GPT 4o,general,20.1,2
1,6,b,GPT 4o,general,36.4,1
2,6,b,GPT 4o,general,43.9,1
1,6,c,GPT 4o,general,37.1,1
2,6,c,GPT 4o,general,46.1,1
1,6,d,GPT 4o,general,46.4,1
2,6,d,GPT 4o,general,47.1,1
1,7,a,GPT 4o,general,20.9,2
2,7,a,GPT 4o,general,10.5,2
1,7,b,GPT 4o,general,40.8,2
2,7,b,GPT 4o,general,32.3,2
1,7,c,GPT 4o,general,22.1,0
2,7,c,GPT 4o,general,51.5,0
1,7,d,GPT 4o,general,19,1
2,7,d,GPT 4o,general,38.9,1
1,8,a,GPT 4o,general,18.5,1
2,8,a,GPT 4o,general,19.7,1
1,8,b,GPT 4o,general,51.1,2
2,8,b,GPT 4o,general,30.4,2
1,8,c,GPT 4o,general,21.7,1
2,8,c,GPT 4o,general,55,1
1,8,d,GPT 4o,general,11.9,2
2,8,d,GPT 4o,general,23.1,1
1,9,a,GPT 4o,general,15,2
2,9,a,GPT 4o,general,0,2
1,9,b,GPT 4o,general,26.6,2
2,9,b,GPT 4o,general,11.6,2
1,9,c,GPT 4o,general,4.9,2
2,9,c,GPT 4o,general,21.5,2
1,9,d,GPT 4o,general,33.2,1
2,9,d,GPT 4o,general,4.9,1
1,10,a,GPT 4o,general,31.4,2
2,10,a,GPT 4o,general,22.8,2
1,10,b,GPT 4o,general,31.3,2
2,10,b,GPT 4o,general,32.3,2
1,10,c,GPT 4o,general,39.5,2
2,10,c,GPT 4o,general,52.9,2
1,10,d,GPT 4o,general,38.5,1
2,10,d,GPT 4o,general,19.8,2
1,11,a,GPT 4o,general,24.7,2
2,11,a,GPT 4o,general,39.8,2
1,11,b,GPT 4o,general,40.1,2
2,11,b,GPT 4o,general,33.6,2
1,11,c,GPT 4o,general,40.6,1
2,11,c,GPT 4o,general,57.5,1
1,11,d,GPT 4o,general,31.4,1
2,11,d,GPT 4o,general,30.4,1
1,12,a,GPT 4o,general,24.6,2
2,12,a,GPT 4o,general,34.2,2
1,12,b,GPT 4o,general,42.8,2
2,12,b,GPT 4o,general,24.5,2
1,12,c,GPT 4o,general,42.8,1
2,12,c,GPT 4o,general,41.6,1
1,12,d,GPT 4o,general,30,1
2,12,d,GPT 4o,general,40.5,1
1,1,a,DocsGPT,medicine,23.3,2
2,1,a,DocsGPT,medicine,27.4,2
1,1,b,DocsGPT,medicine,33.2,2
2,1,b,DocsGPT,medicine,35,2
1,1,c,DocsGPT,medicine,50.2,2
